frame,timestamp,vehicle_x,vehicle_y,vehicle_z,velocity_kmh,acceleration,throttle,brake,steer
542512,27068.749924987555,-38.64494323730469,24.543251037597656,0.5461000204086304,3.5280002832412722,9.800002098083496,0.0,0.0,0.0
542513,27068.7999249883,-37.95053482055664,24.54517936706543,0.5314000844955444,50.02666969875035,277.9259504836458,0.5,0.0,0.0
542514,27068.849924989045,-37.256126403808594,24.547109603881836,0.5167001485824585,50.02666969875035,0.0,0.5,0.0,0.0
542515,27068.89992498979,-36.56171417236328,24.54903793334961,0.5020002126693726,50.02666969875035,0.0,0.5,0.0,0.0
542516,27068.949924990535,-35.867305755615234,24.550966262817383,0.4873002767562866,50.02666969875035,0.0,0.5,0.0,0.0
542517,27068.99992499128,-35.17289733886719,24.552894592285156,0.4726003408432007,50.02666969875035,0.0,0.5,0.0,0.0
542518,27069.049924992025,-34.47848892211914,24.55482292175293,0.45790040493011475,50.02666969875035,0.0,0.5,0.0,0.0
542519,27069.09992499277,-33.784080505371094,24.556753158569336,0.4432004690170288,50.02666969875035,0.0,0.5,0.0,0.0
542520,27069.149924993515,-33.08966827392578,24.55868148803711,0.42850053310394287,50.02666969875035,0.0,0.5,0.0,0.0
542521,27069.19992499426,-32.395259857177734,24.560609817504883,0.41380059719085693,50.02666969875035,0.0,0.5,0.0,0.0
542522,27069.249924995005,-31.700851440429688,24.562538146972656,0.3991006910800934,50.02666969875035,0.0,0.5,0.0,0.0
542523,27069.29992499575,-31.00644302368164,24.56446647644043,0.38440075516700745,50.02666969875035,0.0,0.5,0.0,0.0
542524,27069.349924996495,-30.31203269958496,24.566396713256836,0.3697008192539215,50.02666969875035,0.0,0.5,0.0,0.0
542525,27069.39992499724,-29.617624282836914,24.56832504272461,0.35500088334083557,50.02666969875035,0.0,0.5,0.0,0.0
542526,27069.449924997985,-28.923213958740234,24.570253372192383,0.34030094742774963,50.02666969875035,0.0,0.5,0.0,0.0
542527,27069.49992499873,-28.228805541992188,24.572181701660156,0.3256010115146637,50.02666969875035,0.0,0.5,0.0,0.0
542528,27069.549924999475,-27.53439712524414,24.57411003112793,0.31090107560157776,50.02666969875035,0.0,0.5,0.0,0.0
542529,27069.59992500022,-26.83998680114746,24.576040267944336,0.2962011396884918,50.02666969875035,0.0,0.5,0.0,0.0
542530,27069.649925000966,-26.145578384399414,24.57796859741211,0.2815012037754059,50.02666969875035,0.0,0.5,0.0,0.0
542531,27069.69992500171,-25.451168060302734,24.579896926879883,0.26680126786231995,50.02666969875035,0.0,0.5,0.0,0.0
542532,27069.749925002456,-24.756759643554688,24.581825256347656,0.252101331949234,50.02666969875035,0.0,0.5,0.0,0.0
