frame,timestamp,vehicle_x,vehicle_y,vehicle_z,velocity_kmh,acceleration,throttle,brake,steer
540229,26954.599923286587,-38.64494323730469,24.543251037597656,0.5461000204086304,3.5280002832412722,9.800002098083496,0.0,0.0,0.0
540230,26954.649923287332,-37.95053482055664,24.54517936706543,0.5314000844955444,50.02666969875035,277.9259504836458,0.5,0.0,0.0
540231,26954.699923288077,-37.256126403808594,24.547109603881836,0.5167001485824585,50.02666969875035,0.0,0.5,0.0,0.0
540232,26954.749923288822,-36.56171417236328,24.54903793334961,0.5020002126693726,50.02666969875035,0.0,0.5,0.0,0.0
540233,26954.799923289567,-35.867305755615234,24.550966262817383,0.4873002767562866,50.02666969875035,0.0,0.5,0.0,0.0
540234,26954.849923290312,-35.17289733886719,24.552894592285156,0.4726003408432007,50.02666969875035,0.0,0.5,0.0,0.0
540235,26954.899923291057,-34.47848892211914,24.55482292175293,0.45790040493011475,50.02666969875035,0.0,0.5,0.0,0.0
540236,26954.949923291802,-33.784080505371094,24.556753158569336,0.4432004690170288,50.02666969875035,0.0,0.5,0.0,0.0
540237,26954.999923292547,-33.08966827392578,24.55868148803711,0.42850053310394287,50.02666969875035,0.0,0.5,0.0,0.0
540238,26955.049923293293,-32.395259857177734,24.560609817504883,0.41380059719085693,50.02666969875035,0.0,0.5,0.0,0.0
540239,26955.099923294038,-31.700851440429688,24.562538146972656,0.3991006910800934,50.02666969875035,0.0,0.5,0.0,0.0
540240,26955.149923294783,-31.00644302368164,24.56446647644043,0.38440075516700745,50.02666969875035,0.0,0.5,0.0,0.0
540241,26955.199923295528,-30.31203269958496,24.566396713256836,0.3697008192539215,50.02666969875035,0.0,0.5,0.0,0.0
540242,26955.249923296273,-29.617624282836914,24.56832504272461,0.35500088334083557,50.02666969875035,0.0,0.5,0.0,0.0
540243,26955.299923297018,-28.923213958740234,24.570253372192383,0.34030094742774963,50.02666969875035,0.0,0.5,0.0,0.0
540244,26955.349923297763,-28.228805541992188,24.572181701660156,0.3256010115146637,50.02666969875035,0.0,0.5,0.0,0.0
540245,26955.399923298508,-27.53439712524414,24.57411003112793,0.31090107560157776,50.02666969875035,0.0,0.5,0.0,0.0
540246,26955.449923299253,-26.83998680114746,24.576040267944336,0.2962011396884918,50.02666969875035,0.0,0.5,0.0,0.0
540247,26955.499923299998,-26.145578384399414,24.57796859741211,0.2815012037754059,50.02666969875035,0.0,0.5,0.0,0.0
540248,26955.549923300743,-25.451168060302734,24.579896926879883,0.26680126786231995,50.02666969875035,0.0,0.5,0.0,0.0
540249,26955.599923301488,-24.756759643554688,24.581825256347656,0.252101331949234,50.02666969875035,0.0,0.5,0.0,0.0
540250,26955.649923302233,-24.06235122680664,24.58375358581543,0.23740138113498688,50.02666969875035,0.0,0.5,0.0,0.0
540251,26955.69992330298,-23.36794090270996,24.585683822631836,0.22270141541957855,50.02666969875035,0.0,0.5,0.0,0.0
540252,26955.749923303723,-22.673532485961914,24.58761215209961,0.20800143480300903,50.02666969875035,0.0,0.5,0.0,0.0
540253,26955.79992330447,-21.979122161865234,24.589540481567383,0.1933014690876007,50.02666969875035,0.0,0.5,0.0,0.0
540254,26955.849923305213,-21.284713745117188,24.591468811035156,0.1786014884710312,50.02666969875035,0.0,0.5,0.0,0.0
540255,26955.89992330596,-20.590307235717773,24.59339714050293,0.16390152275562286,50.02666969875035,0.0,0.5,0.0,0.0
540256,26955.949923306704,-19.895902633666992,24.595327377319336,0.14920154213905334,50.02666969875035,0.0,0.5,0.0,0.0
540257,26955.99992330745,-19.201499938964844,24.59725570678711,0.13450156152248383,50.02666969875035,0.0,0.5,0.0,0.0
540258,26956.049923308194,-18.507097244262695,24.599184036254883,0.1198015958070755,50.02666969875035,0.0,0.5,0.0,0.0
540259,26956.09992330894,-17.812694549560547,24.601112365722656,0.10510162264108658,50.02666969875035,0.0,0.5,0.0,0.0
540260,26956.149923309684,-17.118289947509766,24.60304069519043,0.09040164947509766,50.02666969875035,0.0,0.5,0.0,0.0
540261,26956.19992331043,-16.423887252807617,24.604970932006836,0.07570167630910873,50.02666969875035,0.0,0.5,0.0,0.0
540262,26956.249923311174,-15.735763549804688,24.606882095336914,0.0689660981297493,49.36344605449831,6.634455977636847,0.5,0.0,0.0
540263,26956.29992331192,-15.04478931427002,24.608802795410156,0.06334567815065384,49.61968012426571,1.5148146540148846,0.5,0.0,0.0
540264,26956.349923312664,-14.352994918823242,24.61072540283203,0.05809440463781357,49.709691090180776,0.581943224427399,0.5,0.0,0.0
540265,26956.39992331341,-13.660353660583496,24.612648010253906,0.053260382264852524,49.802506632103494,0.5933952846012577,0.5,0.0,0.0
540266,26956.449923314154,-12.967305183410645,24.61457633972168,0.0488232783973217,49.84580966062351,0.3607971423609485,0.5,0.0,0.0
540267,26956.4999233149,-12.273765563964844,24.616506576538086,0.04476161673665047,49.900821620960215,0.39423968622057853,0.5,0.0,0.0
540268,26956.549923315644,-11.580074310302734,24.61843490600586,0.041051749140024185,49.91587393757033,0.24197736386234037,0.5,0.0,0.0
540269,26956.59992331639,-10.886064529418945,24.620363235473633,0.037666358053684235,49.952529508129174,0.29166787265794863,0.5,0.0,0.0
540270,26956.649923317134,-10.192038536071777,24.622291564941406,0.03458007797598839,49.952769123318696,0.1893466278127654,0.5,0.0,0.0
540271,26956.69992331788,-9.497782707214355,24.62421989440918,0.031766701489686966,49.97981646846835,0.22963112312135203,0.5,0.0,0.0
540272,26956.749923318624,-8.803580284118652,24.626150131225586,0.02920272760093212,49.972492228137554,0.162308976778898,0.5,0.0,0.0
540273,26956.79992331937,-8.109195709228516,24.62807846069336,0.026865119114518166,49.99424936039903,0.1879826125625737,0.5,0.0,0.0
540274,26956.849923320115,-7.4148993492126465,24.630006790161133,0.024733886122703552,49.98300382529249,0.1444560127864322,0.5,0.0,0.0
540275,26956.89992332086,-6.720446586608887,24.631935119628906,0.022789878770709038,50.00187078507152,0.1588939719556695,0.5,0.0,0.0
540276,26956.949923321605,-6.026101112365723,24.63386344909668,0.02101638726890087,49.98854783660824,0.1309783244366147,0.5,0.0,0.0
540277,26956.99992332235,-5.331613063812256,24.635793685913086,0.019397391006350517,50.00589420664611,0.1382151474683683,0.5,0.0,0.0
540278,26957.049923323095,-4.637242794036865,24.63772201538086,0.017919693142175674,49.991440013615076,0.12050144195154623,0.5,0.0,0.0
540279,26957.09992332384,-3.9427361488342285,24.639650344848633,0.016569709405303,50.00800448370295,0.12352855452303292,0.5,0.0,0.0
540280,26957.149923324585,-3.2483532428741455,24.641578674316406,0.01533660851418972,49.992919257575686,0.11228257901216337,0.5,0.0,0.0
540281,26957.19992332533,-2.5538365840911865,24.64350700378418,0.01420948002487421,50.009131202723474,0.11326404826500967,0.5,0.0,0.0
540282,26957.249923326075,-1.8594468832015991,24.645437240600586,0.013179740868508816,49.99366003495752,0.10616826335604618,0.5,0.0,0.0
540283,26957.29992332682,-1.1649250984191895,24.64736557006836,0.012237967923283577,50.00972093765041,0.10601616175813615,0.5,0.0,0.0
540284,26957.349923327565,-0.4705321490764618,24.649293899536133,0.011377029120922089,49.994028311167895,0.10152012034785474,0.5,0.0,0.0
540285,26957.39992332831,0.22399252653121948,24.651222229003906,0.010588607750833035,50.01004493112502,0.10093943785395387,0.5,0.0,0.0
540286,26957.449923329055,0.9183871150016785,24.65315055847168,0.009868545457720757,49.99419683321472,0.09828642727564942,0.5,0.0,0.0
540287,26957.4999233298,1.6129133701324463,24.655080795288086,0.00920898374170065,50.010221867079245,0.09753143457305034,0.5,0.0,0.0
540288,26957.549923330545,2.3073084354400635,24.65700912475586,0.008606299757957458,49.994261237548294,0.09588642013826255,0.5,0.0,0.0
540289,26957.59992333129,3.0011184215545654,24.658937454223633,0.008059806190431118,49.877883476754654,0.64735394923479,0.0,1.0,0.0
540290,26957.649923332036,3.6895322799682617,24.660852432250977,0.0069889831356704235,49.30733522489601,3.171592515872719,0.0,1.0,0.0
540291,26957.69992333278,4.367016792297363,24.662736892700195,0.0059217833913862705,48.3926868918901,5.081445621596645,0.0,1.0,0.0
540292,26957.749923333526,5.029336929321289,24.66457748413086,0.005033645313233137,47.20831281739917,6.580203964252139,0.0,1.0,0.0
540293,26957.79992333427,5.674314975738525,24.666372299194336,0.0043479157611727715,45.926626172329286,7.120847211953306,0.0,1.0,0.0
540294,26957.849923335016,6.300971031188965,24.668115615844727,0.003839378245174885,44.58635326178655,7.446223982501264,0.0,1.0,0.0
540295,26957.89992333576,6.908792972564697,24.669803619384766,0.003471488831564784,43.22061706793763,7.5875860822311605,0.0,1.0,0.0
540296,26957.949923336506,7.497552394866943,24.67144203186035,0.0032092283945530653,41.84381505995746,7.6489931566578395,0.0,1.0,0.0
540297,26957.99992333725,8.067224502563477,24.67302894592285,0.003023872384801507,40.471017977863994,7.626701046729369,0.0,1.0,0.0
540298,26958.049923337996,8.617904663085938,24.674564361572266,0.0028932951390743256,39.10632433644635,7.581657697312723,0.0,1.0,0.0
540299,26958.09992333874,9.14979362487793,24.67604637145996,0.0028010557871311903,37.76210363354876,7.46790661285816,0.0,1.0,0.0
540300,26958.149923339486,9.663116455078125,24.67747688293457,0.0027353286277502775,36.42427247385878,7.432402290500144,0.0,1.0,0.0
540301,26958.19992334023,10.15855884552002,24.678857803344727,0.0026846693363040686,35.21054293959414,6.742945736819937,0.0,1.0,0.0
540302,26958.249923340976,10.637263298034668,24.680192947387695,0.0026431274600327015,33.967081588646515,6.908120486136566,0.0,1.0,0.0
540303,26958.29992334172,11.100015640258789,24.681482315063477,0.0026074217166751623,32.886798537050105,6.001573561510391,0.0,1.0,0.0
540304,26958.349923342466,11.54641342163086,24.682729721069336,0.0025837707798928022,31.642355109107257,6.91357502971429,0.0,1.0,0.0
540305,26958.39992334321,11.977116584777832,24.68393325805664,0.0025625228881835938,30.592078650354196,5.834869472339581,0.0,1.0,0.0
540306,26958.449923343956,12.391819953918457,24.685089111328125,0.0025491714477539062,29.370026877350323,6.789176642198428,0.0,1.0,0.0
540307,26958.4999233447,12.791318893432617,24.686208724975586,0.002534217666834593,28.36304361611761,5.594351497892599,0.0,1.0,0.0
540308,26958.549923345447,13.175323486328125,24.687280654907227,0.0025254820939153433,27.172541625640893,6.613899981376249,0.0,1.0,0.0
540309,26958.59992334619,13.544709205627441,24.688312530517578,0.002513046143576503,26.214521533048167,5.322333861655303,0.0,1.0,0.0
540310,26958.649923346937,13.899175643920898,24.68930435180664,0.002505721990019083,25.06081015111018,6.409507683574431,0.0,1.0,0.0
540311,26958.69992334768,14.239673614501953,24.69025421142578,0.002494010841473937,24.155696296417627,5.028410308456812,0.0,1.0,0.0
540312,26958.749923348427,14.565892219543457,24.691164016723633,0.0024870680645108223,23.04372968469588,6.1775922899542435,0.0,1.0,0.0
540313,26958.799923349172,14.86499309539795,24.692001342773438,0.0025847244542092085,19.722711080284814,18.450103357866173,0.0,1.0,0.0
540314,26958.849923349917,15.09841251373291,24.692657470703125,0.0026875685434788465,14.901520501616622,26.784582893126142,0.0,1.0,0.0
540315,26958.899923350662,15.264649391174316,24.693119049072266,0.0028239439707249403,10.05642529745091,26.91721803485448,0.0,1.0,0.0
540316,26958.949923351407,15.363874435424805,24.69339942932129,0.0030157470609992743,5.240560008500818,26.754811932888384,0.0,1.0,0.0
540317,26958.999923352152,15.396921157836914,24.693498611450195,0.0031964110676199198,0.5387811322076685,26.12100382030081,0.0,1.0,0.0
540318,26959.049923352897,15.397042274475098,24.693500518798828,0.003149604657664895,0.0023889184059224028,3.0017966077295766,0.0,1.0,0.0
540319,26959.099923353642,15.397318840026855,24.693500518798828,0.0029251480009406805,0.002861105222762509,0.0034224843505009993,0.0,1.0,0.0
540320,26959.149923354387,15.397602081298828,24.693500518798828,0.0026921844109892845,0.0025732748846236404,0.0016614602003832296,0.0,1.0,0.0
540321,26959.199923355132,15.397842407226562,24.693500518798828,0.0024957656860351562,0.002090259253268525,0.0026855984527478036,0.0,1.0,0.0
540322,26959.249923355877,15.398030281066895,24.69350242614746,0.0023417663760483265,0.0016178577154392102,0.0026252595867991614,0.0,1.0,0.0
540323,26959.299923356622,15.398173332214355,24.69350242614746,0.0022242737468332052,0.0012096751302647629,0.0022731914967294028,0.0,1.0,0.0
